candidate,op,tier,a,b,result,operand_digit_tier_a,operand_digit_tier_b,result_digit_tier,active_columns,carry_count,borrow_count,borrow_chain_length,operand_closeness,c_over_d_ratio
C12,sub,3,621,419,202,3,3,3,3,,1,1,0.6747,0.4821
C12,add,3,164,861,1025,3,3,4,3,2,,,0.1905,0.1905
C12,add,3,126,885,1011,3,3,4,3,3,,,0.1424,0.1424
C12,sub,4,8654,1503,7151,4,4,4,4,,0,0,0.1737,4.7578
C12,add,3,537,401,938,3,3,3,3,0,,,0.7467,1.3392
C12,add,2,29,66,95,2,2,2,2,1,,,0.4394,0.4394
C12,sub,2,66,35,31,2,2,2,2,,0,0,0.5303,0.8857
C12,add,4,3584,5017,8601,4,4,4,4,2,,,0.7144,0.7144
C12,sub,4,8140,5046,3094,4,4,4,4,,2,2,0.6199,0.6132
C12,add,2,64,18,82,2,2,2,2,1,,,0.2812,3.5556
C12,add,2,50,25,75,2,2,2,2,0,,,0.5,2.0
C12,add,2,52,11,63,2,2,2,2,0,,,0.2115,4.7273
C12,sub,2,56,30,26,2,2,2,2,,0,0,0.5357,0.8667
C12,add,3,948,880,1828,3,3,4,3,2,,,0.9283,1.0773
C12,sub,3,853,455,398,3,3,3,3,,2,2,0.5334,0.8747
C12,add,2,35,37,72,2,2,2,2,1,,,0.9459,0.9459
C12,add,2,52,48,100,2,2,3,2,2,,,0.9231,1.0833
C12,sub,4,3890,3310,580,4,4,3,4,,0,0,0.8509,0.1752
C12,add,3,207,287,494,3,3,3,3,1,,,0.7213,0.7213
C12,add,4,1625,5049,6674,4,4,4,4,1,,,0.3218,0.3218
C12,add,2,21,86,107,2,2,3,2,1,,,0.2442,0.2442
C12,sub,4,7834,4996,2838,4,4,4,4,,3,3,0.6377,0.5681
C12,add,2,17,33,50,2,2,2,2,1,,,0.5152,0.5152
C12,add,3,328,551,879,3,3,3,3,0,,,0.5953,0.5953
C12,sub,2,38,16,22,2,2,2,2,,0,0,0.4211,1.375
C12,sub,3,745,646,99,3,3,2,3,,2,2,0.8671,0.1533
C12,add,4,4227,1750,5977,4,4,4,4,0,,,0.414,2.4154
C12,sub,3,903,306,597,3,3,3,3,,2,2,0.3389,1.951
C12,add,3,886,432,1318,3,3,4,3,2,,,0.4876,2.0509
C12,add,3,934,409,1343,3,3,4,3,2,,,0.4379,2.2836
C12,add,3,449,253,702,3,3,3,3,2,,,0.5635,1.7747
C12,add,3,698,148,846,3,3,3,3,2,,,0.212,4.7162
C12,sub,4,5411,4015,1396,4,4,4,4,,2,2,0.742,0.3477
C12,add,4,1917,6025,7942,4,4,4,4,1,,,0.3182,0.3182
C12,add,3,244,170,414,3,3,3,3,1,,,0.6967,1.4353
C12,add,4,4313,4320,8633,4,4,4,4,0,,,0.9984,0.9984
C12,sub,2,83,16,67,2,2,2,2,,1,1,0.1928,4.1875
C12,sub,2,88,15,73,2,2,2,2,,0,0,0.1705,4.8667
C12,sub,4,9370,2214,7156,4,4,4,4,,1,1,0.2363,3.2322
C12,add,4,1453,2064,3517,4,4,4,4,1,,,0.704,0.704
C12,sub,3,842,464,378,3,3,3,3,,2,2,0.5511,0.8147
C12,add,3,219,898,1117,3,3,4,3,3,,,0.2439,0.2439
C12,add,3,937,496,1433,3,3,4,3,3,,,0.5293,1.8891
C12,add,3,422,376,798,3,3,3,3,0,,,0.891,1.1223
C12,add,3,325,461,786,3,3,3,3,0,,,0.705,0.705
C12,sub,4,8134,1742,6392,4,4,4,4,,2,2,0.2142,3.6693
C12,sub,4,4524,2243,2281,4,4,4,4,,1,1,0.4958,1.0169
C12,sub,3,966,434,532,3,3,3,3,,0,0,0.4493,1.2258
C12,sub,4,5614,2682,2932,4,4,4,4,,2,2,0.4777,1.0932
C12,add,3,170,195,365,3,3,3,3,1,,,0.8718,0.8718
C12,sub,3,311,221,90,3,3,2,3,,1,1,0.7106,0.4072
C12,sub,3,991,571,420,3,3,3,3,,0,0,0.5762,0.7356
C12,add,4,5870,1386,7256,4,4,4,4,2,,,0.2361,4.2352
C12,add,3,744,533,1277,3,3,4,3,1,,,0.7164,1.3959
C12,sub,4,6305,4823,1482,4,4,4,4,,2,2,0.7649,0.3073
C12,sub,3,769,690,79,3,3,2,3,,1,1,0.8973,0.1145
C12,add,3,206,320,526,3,3,3,3,0,,,0.6438,0.6438
C12,sub,3,294,206,88,3,3,2,3,,1,1,0.7007,0.4272
C12,sub,4,4402,2485,1917,4,4,4,4,,3,3,0.5645,0.7714
C12,add,2,57,70,127,2,2,3,2,1,,,0.8143,0.8143
C12,add,2,10,83,93,2,2,2,2,0,,,0.1205,0.1205
C12,add,3,687,148,835,3,3,3,3,2,,,0.2154,4.6419
C12,sub,3,715,146,569,3,3,3,3,,2,2,0.2042,3.8973
C12,add,2,67,89,156,2,2,3,2,2,,,0.7528,0.7528
C12,add,2,39,80,119,2,2,3,2,1,,,0.4875,0.4875
C12,sub,3,630,457,173,3,3,3,3,,2,2,0.7254,0.3786
C12,sub,4,4689,2505,2184,4,4,4,4,,0,0,0.5342,0.8719
C12,add,3,619,791,1410,3,3,4,3,3,,,0.7826,0.7826
C12,sub,3,482,449,33,3,3,2,3,,1,1,0.9315,0.0735
C12,sub,4,9585,7821,1764,4,4,4,4,,1,1,0.816,0.2255
C12,sub,3,601,239,362,3,3,3,3,,2,2,0.3977,1.5146
C12,sub,3,465,434,31,3,3,2,3,,0,0,0.9333,0.0714
C12,sub,4,9684,7263,2421,4,4,4,4,,0,0,0.75,0.3333
C12,sub,4,7386,1420,5966,4,4,4,4,,1,1,0.1923,4.2014
C12,sub,4,5294,2659,2635,4,4,4,4,,2,2,0.5023,0.991
C12,add,3,314,767,1081,3,3,4,3,2,,,0.4094,0.4094
C12,sub,3,576,422,154,3,3,3,3,,0,0,0.7326,0.3649
C12,add,2,29,25,54,2,2,2,2,1,,,0.8621,1.16
C12,sub,3,705,555,150,3,3,3,3,,1,1,0.7872,0.2703
C12,sub,3,568,400,168,3,3,3,3,,0,0,0.7042,0.42
C12,sub,3,965,752,213,3,3,3,3,,0,0,0.7793,0.2832
C12,add,2,66,80,146,2,2,3,2,1,,,0.825,0.825
C12,sub,2,80,68,12,2,2,2,2,,1,1,0.85,0.1765
C12,add,3,181,293,474,3,3,3,3,1,,,0.6177,0.6177
C12,sub,3,782,455,327,3,3,3,3,,1,1,0.5818,0.7187
C12,add,2,38,75,113,2,2,3,2,2,,,0.5067,0.5067
C12,sub,3,623,529,94,3,3,2,3,,2,2,0.8491,0.1777
C12,add,3,267,131,398,3,3,3,3,0,,,0.4906,2.0382
C12,add,4,6149,3239,9388,4,4,4,4,1,,,0.5268,1.8984
C12,sub,2,42,14,28,2,2,2,2,,1,1,0.3333,2.0
C12,sub,2,90,18,72,2,2,2,2,,1,1,0.2,4.0
C12,add,3,520,476,996,3,3,3,3,0,,,0.9154,1.0924
C12,add,4,2970,2721,5691,4,4,4,4,1,,,0.9162,1.0915
C12,sub,4,8417,4148,4269,4,4,4,4,,2,2,0.4928,1.0292
C12,add,3,964,300,1264,3,3,4,3,1,,,0.3112,3.2133
C12,sub,3,881,734,147,3,3,3,3,,1,1,0.8331,0.2003
C12,sub,3,527,214,313,3,3,3,3,,0,0,0.4061,1.4626
C12,sub,4,4045,1730,2315,4,4,4,4,,1,1,0.4277,1.3382
C12,add,3,530,732,1262,3,3,4,3,1,,,0.724,0.724
C12,add,2,34,24,58,2,2,2,2,0,,,0.7059,1.4167
C12,sub,2,46,28,18,2,2,2,2,,1,1,0.6087,0.6429
C12,add,3,476,507,983,3,3,3,3,1,,,0.9389,0.9389
C12,add,4,2023,3755,5778,4,4,4,4,0,,,0.5387,0.5387
C12,sub,4,3802,2618,1184,4,4,4,4,,2,2,0.6886,0.4523
C12,add,2,97,61,158,2,2,3,2,1,,,0.6289,1.5902
C12,add,3,476,954,1430,3,3,4,3,3,,,0.499,0.499
C12,sub,4,8613,4818,3795,4,4,4,4,,3,3,0.5594,0.7877
C12,add,3,883,809,1692,3,3,4,3,2,,,0.9162,1.0915
C12,add,3,897,573,1470,3,3,4,3,3,,,0.6388,1.5654
C12,sub,2,78,23,55,2,2,2,2,,0,0,0.2949,2.3913
C12,add,4,1655,3159,4814,4,4,4,4,2,,,0.5239,0.5239
C12,add,2,11,91,102,2,2,3,2,1,,,0.1209,0.1209
C12,sub,2,81,16,65,2,2,2,2,,1,1,0.1975,4.0625
C12,sub,3,530,259,271,3,3,3,3,,2,2,0.4887,1.0463
C12,add,4,1771,7696,9467,4,4,4,4,2,,,0.2301,0.2301
C12,sub,4,8499,6476,2023,4,4,4,4,,0,0,0.762,0.3124
C12,sub,3,994,196,798,3,3,3,3,,2,2,0.1972,4.0714
C12,add,3,872,804,1676,3,3,4,3,1,,,0.922,1.0846
C12,add,3,799,668,1467,3,3,4,3,3,,,0.836,1.1961
C12,add,3,168,652,820,3,3,3,3,2,,,0.2577,0.2577
C12,sub,2,89,12,77,2,2,2,2,,0,0,0.1348,6.4167
C12,sub,2,28,10,18,2,2,2,2,,0,0,0.3571,1.8
C12,add,3,135,752,887,3,3,3,3,0,,,0.1795,0.1795
C12,add,3,810,340,1150,3,3,4,3,1,,,0.4198,2.3824
C12,sub,3,431,117,314,3,3,3,3,,1,1,0.2715,2.6838
C12,sub,2,73,13,60,2,2,2,2,,0,0,0.1781,4.6154
C12,sub,4,8246,5958,2288,4,4,4,4,,3,3,0.7225,0.384
C12,sub,4,9797,7706,2091,4,4,4,4,,0,0,0.7866,0.2713
C12,add,3,417,108,525,3,3,3,3,1,,,0.259,3.8611
C12,sub,3,726,415,311,3,3,3,3,,0,0,0.5716,0.7494
C12,sub,2,81,47,34,2,2,2,2,,1,1,0.5802,0.7234
C12,add,2,27,78,105,2,2,3,2,2,,,0.3462,0.3462
C12,add,4,5927,2391,8318,4,4,4,4,2,,,0.4034,2.4789
C12,add,3,985,771,1756,3,3,4,3,2,,,0.7827,1.2776
C12,sub,4,9645,2170,7475,4,4,4,4,,1,1,0.225,3.4447
C12,sub,3,515,153,362,3,3,3,3,,1,1,0.2971,2.366
C12,add,3,694,610,1304,3,3,4,3,2,,,0.879,1.1377
C12,add,2,74,72,146,2,2,3,2,1,,,0.973,1.0278
C12,add,4,5826,2753,8579,4,4,4,4,1,,,0.4725,2.1162
C12,add,2,18,27,45,2,2,2,2,1,,,0.6667,0.6667
C12,sub,2,87,20,67,2,2,2,2,,0,0,0.2299,3.35
C12,sub,2,87,23,64,2,2,2,2,,0,0,0.2644,2.7826
C12,sub,2,40,25,15,2,2,2,2,,1,1,0.625,0.6
C12,add,3,308,832,1140,3,3,4,3,2,,,0.3702,0.3702
C12,sub,4,8402,3113,5289,4,4,4,4,,2,2,0.3705,1.699
C12,sub,2,48,30,18,2,2,2,2,,0,0,0.625,0.6
C12,add,2,52,23,75,2,2,2,2,0,,,0.4423,2.2609
C12,add,3,534,320,854,3,3,3,3,0,,,0.5993,1.6687
C12,add,4,5951,3908,9859,4,4,4,4,1,,,0.6567,1.5228
C12,sub,3,936,628,308,3,3,3,3,,1,1,0.6709,0.4904
C12,add,3,550,240,790,3,3,3,3,0,,,0.4364,2.2917
C12,sub,3,877,346,531,3,3,3,3,,0,0,0.3945,1.5347
C12,add,2,34,47,81,2,2,2,2,1,,,0.7234,0.7234
C12,sub,3,882,798,84,3,3,2,3,,2,2,0.9048,0.1053
C12,sub,4,7718,2967,4751,4,4,4,4,,2,2,0.3844,1.6013
C12,add,3,389,531,920,3,3,3,3,2,,,0.7326,0.7326
C12,add,3,103,720,823,3,3,3,3,0,,,0.1431,0.1431
C12,add,2,36,96,132,2,2,3,2,2,,,0.375,0.375
C12,add,2,26,47,73,2,2,2,2,1,,,0.5532,0.5532
C12,sub,4,6874,5637,1237,4,4,4,4,,1,1,0.82,0.2194
C12,add,2,83,76,159,2,2,3,2,1,,,0.9157,1.0921
C12,add,4,2140,3489,5629,4,4,4,4,1,,,0.6134,0.6134
C12,sub,2,80,66,14,2,2,2,2,,1,1,0.825,0.2121
C12,add,3,562,102,664,3,3,3,3,0,,,0.1815,5.5098
C12,sub,3,700,557,143,3,3,3,3,,2,2,0.7957,0.2567
C12,sub,2,42,19,23,2,2,2,2,,1,1,0.4524,1.2105
C12,sub,2,82,35,47,2,2,2,2,,1,1,0.4268,1.3429
C12,add,2,56,62,118,2,2,3,2,1,,,0.9032,0.9032
C12,add,3,742,767,1509,3,3,4,3,2,,,0.9674,0.9674
C12,add,4,2010,1989,3999,4,4,4,4,0,,,0.9896,1.0106
C12,sub,2,99,43,56,2,2,2,2,,0,0,0.4343,1.3023
C12,sub,4,6554,3699,2855,4,4,4,4,,3,3,0.5644,0.7718
C12,add,3,193,452,645,3,3,3,3,1,,,0.427,0.427
C12,sub,4,7435,6872,563,4,4,3,4,,2,2,0.9243,0.0819
C12,add,2,13,45,58,2,2,2,2,0,,,0.2889,0.2889
C12,sub,4,8852,7203,1649,4,4,4,4,,1,1,0.8137,0.2289
C12,sub,3,745,341,404,3,3,3,3,,0,0,0.4577,1.1848
C12,sub,4,4689,3246,1443,4,4,4,4,,0,0,0.6923,0.4445
C12,sub,2,90,13,77,2,2,2,2,,1,1,0.1444,5.9231
C12,sub,4,8196,2572,5624,4,4,4,4,,1,1,0.3138,2.1866
C12,add,2,98,21,119,2,2,3,2,1,,,0.2143,4.6667
C12,sub,3,823,297,526,3,3,3,3,,2,2,0.3609,1.771
C12,add,3,972,389,1361,3,3,4,3,3,,,0.4002,2.4987
C12,sub,3,741,407,334,3,3,3,3,,1,1,0.5493,0.8206
C12,sub,2,74,22,52,2,2,2,2,,0,0,0.2973,2.3636
C12,add,4,3683,5181,8864,4,4,4,4,1,,,0.7109,0.7109
C12,add,4,4265,3502,7767,4,4,4,4,0,,,0.8211,1.2179
C12,sub,2,41,26,15,2,2,2,2,,1,1,0.6341,0.5769
C12,add,2,85,16,101,2,2,3,2,2,,,0.1882,5.3125
C12,sub,3,912,564,348,3,3,3,3,,2,2,0.6184,0.617
C12,sub,3,796,447,349,3,3,3,3,,1,1,0.5616,0.7808
C12,add,2,47,90,137,2,2,3,2,1,,,0.5222,0.5222
C12,add,3,501,991,1492,3,3,4,3,1,,,0.5055,0.5055
C12,sub,2,62,42,20,2,2,2,2,,0,0,0.6774,0.4762
C12,sub,3,790,383,407,3,3,3,3,,1,1,0.4848,1.0627
C12,add,2,65,70,135,2,2,3,2,1,,,0.9286,0.9286
C12,sub,4,7261,6226,1035,4,4,4,4,,1,1,0.8575,0.1662
C12,sub,4,7475,6545,930,4,4,3,4,,1,1,0.8756,0.1421
C12,sub,3,366,281,85,3,3,2,3,,1,1,0.7678,0.3025
C12,sub,2,83,12,71,2,2,2,2,,0,0,0.1446,5.9167
C12,add,3,601,178,779,3,3,3,3,0,,,0.2962,3.3764
C12,sub,4,9943,5580,4363,4,4,4,4,,1,1,0.5612,0.7819
C12,sub,3,739,434,305,3,3,3,3,,0,0,0.5873,0.7028
C12,sub,2,50,40,10,2,2,2,2,,0,0,0.8,0.25
C12,sub,2,76,19,57,2,2,2,2,,1,1,0.25,3.0
C12,sub,3,754,687,67,3,3,2,3,,2,2,0.9111,0.0975
C12,add,2,11,94,105,2,2,3,2,1,,,0.117,0.117
C12,add,2,91,87,178,2,2,3,2,1,,,0.956,1.046
C12,add,3,275,470,745,3,3,3,3,1,,,0.5851,0.5851
C12,add,3,110,384,494,3,3,3,3,0,,,0.2865,0.2865
C12,sub,3,806,783,23,3,3,2,3,,1,1,0.9715,0.0294
C12,add,2,83,55,138,2,2,3,2,1,,,0.6627,1.5091
C12,sub,4,2964,1667,1297,4,4,4,4,,2,2,0.5624,0.778
C12,sub,3,770,612,158,3,3,3,3,,1,1,0.7948,0.2582
C12,sub,3,472,156,316,3,3,3,3,,1,1,0.3305,2.0256
C12,sub,4,8456,8444,12,4,4,2,4,,0,0,0.9986,0.0014
C12,sub,4,3222,1614,1608,4,4,4,4,,2,2,0.5009,0.9963
C12,add,4,4306,2906,7212,4,4,4,4,2,,,0.6749,1.4818
C12,sub,2,72,58,14,2,2,2,2,,1,1,0.8056,0.2414
C12,sub,3,994,379,615,3,3,3,3,,1,1,0.3813,1.6227
C12,sub,2,86,32,54,2,2,2,2,,0,0,0.3721,1.6875
C12,add,4,3966,1275,5241,4,4,4,4,3,,,0.3215,3.1106
C12,sub,4,4761,2275,2486,4,4,4,4,,2,2,0.4778,1.0927
C12,add,3,283,462,745,3,3,3,3,1,,,0.6126,0.6126
C12,add,4,1753,7498,9251,4,4,4,4,3,,,0.2338,0.2338
C12,add,4,6605,1746,8351,4,4,4,4,2,,,0.2643,3.7829
C12,add,2,39,95,134,2,2,3,2,2,,,0.4105,0.4105
C12,sub,4,5302,4031,1271,4,4,4,4,,1,1,0.7603,0.3153
C12,sub,2,78,32,46,2,2,2,2,,0,0,0.4103,1.4375
C12,sub,4,4872,4217,655,4,4,3,4,,1,1,0.8656,0.1553
C12,sub,2,78,45,33,2,2,2,2,,0,0,0.5769,0.7333
C12,add,3,782,174,956,3,3,3,3,1,,,0.2225,4.4943
C12,add,2,84,33,117,2,2,3,2,1,,,0.3929,2.5455
C12,add,2,88,52,140,2,2,3,2,2,,,0.5909,1.6923
C12,sub,2,79,37,42,2,2,2,2,,0,0,0.4684,1.1351
C12,add,4,1644,7616,9260,4,4,4,4,2,,,0.2159,0.2159
C12,add,3,532,143,675,3,3,3,3,0,,,0.2688,3.7203
C12,sub,4,4756,3322,1434,4,4,4,4,,0,0,0.6985,0.4317
C12,sub,3,588,129,459,3,3,3,3,,1,1,0.2194,3.5581
C12,add,3,521,273,794,3,3,3,3,0,,,0.524,1.9084
C12,add,3,978,177,1155,3,3,4,3,3,,,0.181,5.5254
C12,add,2,65,31,96,2,2,2,2,0,,,0.4769,2.0968
C12,sub,2,65,47,18,2,2,2,2,,1,1,0.7231,0.383
C12,sub,2,95,80,15,2,2,2,2,,0,0,0.8421,0.1875
C12,sub,4,9374,1132,8242,4,4,4,4,,0,0,0.1208,7.2809
C12,add,3,102,354,456,3,3,3,3,0,,,0.2881,0.2881
C12,sub,3,676,397,279,3,3,3,3,,2,2,0.5873,0.7028
C12,add,3,828,257,1085,3,3,4,3,2,,,0.3104,3.2218
C12,sub,4,9900,2919,6981,4,4,4,4,,3,3,0.2948,2.3916
C12,add,4,7139,1249,8388,4,4,4,4,1,,,0.175,5.7158
C12,add,2,27,52,79,2,2,2,2,0,,,0.5192,0.5192
C12,add,2,33,74,107,2,2,3,2,1,,,0.4459,0.4459
C12,add,2,16,16,32,2,2,2,2,1,,,1.0,1.0
C12,add,2,26,72,98,2,2,2,2,0,,,0.3611,0.3611
C12,sub,4,6090,5434,656,4,4,3,4,,2,2,0.8923,0.1207
C12,add,2,41,87,128,2,2,3,2,1,,,0.4713,0.4713
C12,sub,2,46,18,28,2,2,2,2,,1,1,0.3913,1.5556
C12,sub,4,8558,2725,5833,4,4,4,4,,1,1,0.3184,2.1406
C12,sub,2,71,40,31,2,2,2,2,,0,0,0.5634,0.775
C12,sub,3,445,152,293,3,3,3,3,,1,1,0.3416,1.9276
C12,add,4,1135,7298,8433,4,4,4,4,2,,,0.1555,0.1555
C12,sub,4,8320,7913,407,4,4,3,4,,2,2,0.9511,0.0514
C12,add,2,51,87,138,2,2,3,2,1,,,0.5862,0.5862
C12,add,3,516,675,1191,3,3,4,3,2,,,0.7644,0.7644
C12,sub,3,919,718,201,3,3,3,3,,0,0,0.7813,0.2799
C12,sub,2,55,40,15,2,2,2,2,,0,0,0.7273,0.375
C12,add,2,67,51,118,2,2,3,2,1,,,0.7612,1.3137
C12,add,4,3177,4265,7442,4,4,4,4,2,,,0.7449,0.7449
C12,sub,4,6022,4823,1199,4,4,4,4,,3,3,0.8009,0.2486
C12,sub,4,5993,4185,1808,4,4,4,4,,1,1,0.6983,0.432
C12,add,4,5088,3829,8917,4,4,4,4,2,,,0.7526,1.3288
C12,add,4,6287,3284,9571,4,4,4,4,2,,,0.5223,1.9144
C12,sub,2,70,38,32,2,2,2,2,,1,1,0.5429,0.8421
C12,add,3,936,779,1715,3,3,4,3,3,,,0.8323,1.2015
C12,add,2,18,40,58,2,2,2,2,0,,,0.45,0.45
C12,add,2,17,14,31,2,2,2,2,1,,,0.8235,1.2143
C12,sub,2,99,51,48,2,2,2,2,,0,0,0.5152,0.9412
C12,sub,2,75,61,14,2,2,2,2,,0,0,0.8133,0.2295
C12,sub,4,3707,1168,2539,4,4,4,4,,2,2,0.3151,2.1738
C12,sub,3,737,201,536,3,3,3,3,,0,0,0.2727,2.6667
C12,sub,3,820,412,408,3,3,3,3,,1,1,0.5024,0.9903
C12,sub,2,68,36,32,2,2,2,2,,0,0,0.5294,0.8889
C12,sub,4,8906,1033,7873,4,4,4,4,,1,1,0.116,7.6215
C12,sub,2,71,31,40,2,2,2,2,,0,0,0.4366,1.2903
C12,add,4,4427,1928,6355,4,4,4,4,2,,,0.4355,2.2962
C12,sub,4,9321,2065,7256,4,4,4,4,,2,2,0.2215,3.5138
C12,add,2,89,88,177,2,2,3,2,2,,,0.9888,1.0114
C12,add,4,3611,1600,5211,4,4,4,4,1,,,0.4431,2.2569
C12,add,2,97,90,187,2,2,3,2,1,,,0.9278,1.0778
C12,sub,3,982,914,68,3,3,2,3,,1,1,0.9308,0.0744
C12,add,2,88,46,134,2,2,3,2,2,,,0.5227,1.913
C12,sub,2,94,84,10,2,2,2,2,,0,0,0.8936,0.119
C12,sub,3,817,799,18,3,3,2,3,,2,2,0.978,0.0225
C12,sub,4,8550,1000,7550,4,4,4,4,,0,0,0.117,7.55
C12,sub,2,79,59,20,2,2,2,2,,0,0,0.7468,0.339
C12,add,2,92,75,167,2,2,3,2,1,,,0.8152,1.2267
C12,add,2,37,55,92,2,2,2,2,1,,,0.6727,0.6727
C12,sub,3,908,759,149,3,3,3,3,,2,2,0.8359,0.1963
C12,add,2,85,40,125,2,2,3,2,1,,,0.4706,2.125
C12,sub,3,610,449,161,3,3,3,3,,2,2,0.7361,0.3586
C12,add,3,242,613,855,3,3,3,3,0,,,0.3948,0.3948
C12,sub,3,909,836,73,3,3,2,3,,1,1,0.9197,0.0873
C12,sub,4,5763,3054,2709,4,4,4,4,,1,1,0.5299,0.887
C12,add,3,110,199,309,3,3,3,3,1,,,0.5528,0.5528
C12,sub,3,888,633,255,3,3,3,3,,0,0,0.7128,0.4028
C12,sub,2,93,74,19,2,2,2,2,,1,1,0.7957,0.2568
C12,add,2,18,61,79,2,2,2,2,0,,,0.2951,0.2951
C12,sub,2,66,53,13,2,2,2,2,,0,0,0.803,0.2453
C12,add,3,767,719,1486,3,3,4,3,2,,,0.9374,1.0668
C12,sub,3,793,114,679,3,3,3,3,,1,1,0.1438,5.9561
C12,add,4,3206,5652,8858,4,4,4,4,0,,,0.5672,0.5672
C12,sub,4,6548,2235,4313,4,4,4,4,,0,0,0.3413,1.9298
C12,add,2,34,76,110,2,2,3,2,2,,,0.4474,0.4474
C12,sub,4,7691,1446,6245,4,4,4,4,,1,1,0.188,4.3188
C12,sub,4,9130,4041,5089,4,4,4,4,,2,2,0.4426,1.2593
C12,sub,2,43,10,33,2,2,2,2,,0,0,0.2326,3.3
C12,add,3,441,839,1280,3,3,4,3,2,,,0.5256,0.5256
C12,sub,3,833,570,263,3,3,3,3,,1,1,0.6843,0.4614
C12,sub,4,8591,3508,5083,4,4,4,4,,1,1,0.4083,1.449
C12,sub,3,695,367,328,3,3,3,3,,1,1,0.5281,0.8937
C12,sub,3,755,165,590,3,3,3,3,,1,1,0.2185,3.5758
C12,sub,2,53,11,42,2,2,2,2,,0,0,0.2075,3.8182
C12,add,3,106,127,233,3,3,3,3,1,,,0.8346,0.8346
C12,sub,3,825,207,618,3,3,3,3,,1,1,0.2509,2.9855
C12,add,3,298,583,881,3,3,3,3,2,,,0.5111,0.5111
C12,add,3,915,445,1360,3,3,4,3,2,,,0.4863,2.0562
C12,sub,3,771,633,138,3,3,3,3,,1,1,0.821,0.218
C12,add,2,36,10,46,2,2,2,2,0,,,0.2778,3.6
C12,sub,3,799,226,573,3,3,3,3,,0,0,0.2829,2.5354
C12,add,2,75,44,119,2,2,3,2,1,,,0.5867,1.7045
C12,add,2,17,49,66,2,2,2,2,1,,,0.3469,0.3469
C12,sub,4,7472,5556,1916,4,4,4,4,,2,2,0.7436,0.3449
C12,add,4,5795,1033,6828,4,4,4,4,1,,,0.1783,5.6099
C12,add,4,6175,3585,9760,4,4,4,4,2,,,0.5806,1.7225
C12,add,4,2567,6853,9420,4,4,4,4,3,,,0.3746,0.3746
C12,add,3,647,686,1333,3,3,4,3,3,,,0.9431,0.9431
C12,sub,3,848,214,634,3,3,3,3,,0,0,0.2524,2.9626
C12,sub,3,875,287,588,3,3,3,3,,2,2,0.328,2.0488
C12,sub,2,40,22,18,2,2,2,2,,1,1,0.55,0.8182
C12,add,3,563,838,1401,3,3,4,3,3,,,0.6718,0.6718
C12,add,2,58,79,137,2,2,3,2,2,,,0.7342,0.7342
C12,add,4,1989,3369,5358,4,4,4,4,3,,,0.5904,0.5904
C12,add,3,152,488,640,3,3,3,3,2,,,0.3115,0.3115
C12,add,3,624,931,1555,3,3,4,3,1,,,0.6702,0.6702
C12,sub,4,6561,4803,1758,4,4,4,4,,2,2,0.7321,0.366
C12,add,4,1186,5216,6402,4,4,4,4,2,,,0.2274,0.2274
C12,add,2,52,85,137,2,2,3,2,1,,,0.6118,0.6118
C12,sub,4,9686,1001,8685,4,4,4,4,,0,0,0.1033,8.6763
C12,sub,3,828,106,722,3,3,3,3,,0,0,0.128,6.8113
C12,sub,2,79,69,10,2,2,2,2,,0,0,0.8734,0.1449
C12,sub,2,44,13,31,2,2,2,2,,0,0,0.2955,2.3846
C12,add,2,58,93,151,2,2,3,2,2,,,0.6237,0.6237
C12,add,2,17,26,43,2,2,2,2,1,,,0.6538,0.6538
C12,add,2,23,34,57,2,2,2,2,0,,,0.6765,0.6765
C12,sub,3,990,707,283,3,3,3,3,,1,1,0.7141,0.4003
C12,sub,3,873,725,148,3,3,3,3,,1,1,0.8305,0.2041
C12,sub,3,854,278,576,3,3,3,3,,2,2,0.3255,2.0719
C12,sub,2,86,56,30,2,2,2,2,,0,0,0.6512,0.5357
C12,sub,3,979,575,404,3,3,3,3,,0,0,0.5873,0.7026
C12,sub,4,5143,3906,1237,4,4,4,4,,2,2,0.7595,0.3167
C12,add,3,770,822,1592,3,3,4,3,1,,,0.9367,0.9367
C12,add,4,8152,1304,9456,4,4,4,4,0,,,0.16,6.2515
C12,sub,2,64,35,29,2,2,2,2,,1,1,0.5469,0.8286
C12,sub,4,5029,3742,1287,4,4,4,4,,2,2,0.7441,0.3439
C12,sub,4,2097,1511,586,4,4,3,4,,1,1,0.7206,0.3878
C12,add,3,954,925,1879,3,3,4,3,1,,,0.9696,1.0314
C12,sub,3,729,126,603,3,3,3,3,,0,0,0.1728,4.7857
C12,sub,4,6236,4441,1795,4,4,4,4,,2,2,0.7122,0.4042
C12,sub,4,9467,7353,2114,4,4,4,4,,0,0,0.7767,0.2875
C12,add,2,39,12,51,2,2,2,2,1,,,0.3077,3.25
C12,sub,4,6530,6503,27,4,4,2,4,,1,1,0.9959,0.0042
C12,sub,3,666,347,319,3,3,3,3,,1,1,0.521,0.9193
C12,sub,4,8152,5012,3140,4,4,4,4,,0,0,0.6148,0.6265
C12,sub,4,8361,2469,5892,4,4,4,4,,3,3,0.2953,2.3864
C12,add,3,884,777,1661,3,3,4,3,3,,,0.879,1.1377
C12,add,3,822,140,962,3,3,3,3,0,,,0.1703,5.8714
C12,add,2,37,95,132,2,2,3,2,2,,,0.3895,0.3895
C12,add,3,325,921,1246,3,3,4,3,1,,,0.3529,0.3529
